country,designation,points,price,province,taster_name,winery,Uniqueprovince
US,Bishop Creek,89,50,Oregon,Paul Gregutt,Erath,
US,Bench Break Vineyard,92,34,California,,Cambria,
US,Bella Vida Vineyard Unfiltered,92,52,Oregon,Paul Gregutt,J. Christopher,
US,Rincon Vineyard,92,60,California,,Talley,
US,Fortune Teller,92,125,California,,Parallel,
US,Treana Red,87,35,California,,Treana,
US,,87,15,California,,Aquinas,
US,Estate,87,28,California,,Benessere,
US,Whiteline No Oak,87,14,Washington,Paul Gregutt,Buried Cane,
US,,87,24,California,Virginie Boone,Claudia Springs,
US,,87,40,California,,Mount Veeder,
US,,87,28,California,,Robert Mondavi,
US,,86,11,New York,Susan Kostrzewa,Lucas Vineyards,
US,Alluvium Blanc,86,16,California,,Beringer,
US,Reserve,86,34,California,,Brutocao,
US,Lila's CuvÃ©e,86,40,California,,Clos La Chance,
US,Serracino Reserve,82,48,California,Virginie Boone,Pezzi King,
US,South River,96,68,California,Virginie Boone,Rochioli,
US,Sweetwater,96,68,California,Virginie Boone,Rochioli,
US,Jamie,95,200,California,Virginie Boone,J. Davies,
US,Weber Vineyard,95,48,Oregon,Paul Gregutt,Winderlea,
US,Cherryblock Vineyard,88,160,California,,Sebastiani,
US,Kathleen's Vineyard,88,19,California,,Ceago Vinegarden,
US,,88,18,California,,Vinoce,
US,Windacre Vineyard,88,34,California,,Merriam,
US,Reserve Fume,88,17,California,,Murphy-Goode,
US,Paragon Vineyard,88,25,California,Roger Voss,Kynsi,
US,,87,12,California,,Bridlewood,
US,Ancient Vines,85,16,California,,Cline,
US,Le Bon Viveur,85,15,California,,Vinavanti,
US,White Hawk Vineyard,85,45,California,,Vino V,
US,Dry,85,20,New York,Susan Kostrzewa,McGregor,
US,,85,20,New York,Susan Kostrzewa,Miles,
US,Split Oak Vineyard,85,12,California,,Morro Bay,
US,,85,14,New York,Susan Kostrzewa,Red Newt Cellars,
US,Confidential Source,89,30,Washington,Sean P. Sullivan,Guardian,
US,Blue Mountain Vineyard,89,20,Washington,Sean P. Sullivan,Kerloo,
US,Verdigris,89,30,California,Jim Gordon,Las Positas,
US,Bridge Lane,89,18,New York,Anna Lee C. Iijima,Lieb,
US,CuvÃ©e Gabriella Brut RosÃ©,89,35,New York,Anna Lee C. Iijima,Macari,
US,The Estates Clifton Hill Vineyard,89,42,Washington,Sean P. Sullivan,Milbrandt,
US,McGinley Vineyard,89,30,California,Matt Kettmann,Ojai,
US,Indie,89,24,California,Matt Kettmann,ONX,
US,Upland Vineyard,89,16,Washington,Sean P. Sullivan,Pomum,
US,Stepping Stones,89,27,California,Jim Gordon,Prospect 772,
US,Henry's Blend,89,54,California,Virginie Boone,Trione,
US,,89,38,Washington,Sean P. Sullivan,Walla Walla Vintners,
US,Caya,89,35,New York,Anna Lee C. Iijima,WÃ¶lffer,
US,Estate Grown,88,32,California,Virginie Boone,Dunbar,
US,,88,20,California,Matt Kettmann,Flying Cloud,
US,Reserve,92,40,California,,Robert Mondavi,
US,Brut,92,23,California,Virginie Boone,Roederer Estate,
US,Solomon Hills Vineyard,92,45,California,,Rusack,
US,Ridgecrest Vineyards,92,50,Oregon,Paul Gregutt,Chehalem,
US,Stoller Vineyards,92,29,Oregon,Paul Gregutt,Chehalem,
US,Evenstad Reserve,92,65,Oregon,Paul Gregutt,Domaine Serene,
US,Clone 6,92,130,California,,Bell,
US,La Castellana,92,88,California,,Castello di Amorosa,
US,Stella Mae,87,45,Washington,Paul Gregutt,Sparkman,
US,Ocean's Ghost,87,60,California,,Babcock,
US,L de Lyeth,87,13,California,,Lyeth,
US,,87,30,Washington,Paul Gregutt,Zerba Cellars,
US,,87,35,Washington,Paul Gregutt,Insania,
US,,87,12,New York,Anna Lee C. Iijima,Knapp,
US,Battonage,87,18,California,Virginie Boone,Lava Cap,
US,Babcock Vineyard,87,30,California,Virginie Boone,MICA Cellars,
US,Annabella,87,17,California,,Michael Pozzan,
US,Silvaspoons Vineyard,87,15,California,Virginie Boone,Fenestra,
US,,87,19,California,,Hanna,
US,Clifton Vineyard,87,28,Washington,Paul Gregutt,Camaraderie,
US,,87,28,Washington,Paul Gregutt,Camaraderie,
US,Quantum,91,65,California,Virginie Boone,Beringer,
US,Coastview Vineyard,91,48,California,Matt Kettmann,Big Basin,
US,El Adobo Ranch Vineyard,91,90,California,Virginie Boone,Conn Creek,
US,Silver Eagle Vineyard,91,75,California,Virginie Boone,D.R. Stephens,
US,Soul Patch Estate Grown,91,55,California,Virginie Boone,Davis Family,
US,Starr Ridge Vineyard,91,55,California,Virginie Boone,Davis Family,
US,The Brat,91,36,California,Jim Gordon,Prospect 772,
US,Doux Sawyer Lindquist Vineyard,91,35,California,Matt Kettmann,QupÃ©,
US,Sawyer Lindquist Vineyard,91,35,California,Matt Kettmann,QupÃ©,
US,Sims Vineyard,91,55,Oregon,Paul Gregutt,Rex Hill,
US,Steve's Reserve,91,65,Oregon,Paul Gregutt,Ruby,
US,Wallula,91,35,Washington,Sean P. Sullivan,Structure,
US,Rincon Vineyard,91,49,California,Matt Kettmann,Testarossa,
US,Prince Hill Vineyard Reserve,91,55,Oregon,Paul Gregutt,Tumwater,
US,Bucher Vineyard,91,45,California,Virginie Boone,Joseph Jewell,
US,Blanc de Noir,91,50,Oregon,Paul Gregutt,Le Cadeau,
US,DiversitÃ©,91,50,Oregon,Paul Gregutt,Le Cadeau,
US,Ã‰quinoxe,91,50,Oregon,Paul Gregutt,Le Cadeau,
US,Di Domenico,91,38,California,Matt Kettmann,Le Vigne,
US,,91,50,Washington,Sean P. Sullivan,Northstar,
US,,91,110,California,Virginie Boone,Padis,
US,Bradley Vineyard,91,45,Oregon,Paul Gregutt,Paul O'Brien,
US,Twin Creeks Estate,93,42,California,Matt Kettmann,Claiborne & Churchill,
US,Bien Nacido Vineyard,93,60,California,Matt Kettmann,Flying Goat Cellars,
US,Solomon Hills Vineyard,93,42,California,Matt Kettmann,Flying Goat Cellars,
US,CaÃ±on Creek Vineyard,93,75,California,Virginie Boone,Midsummer Cellars,
US,Reckoning,93,54,California,Matt Kettmann,ONX,
US,Les Sommets,93,85,California,Virginie Boone,Les Belles Collines,
US,Gap's Crown Vineyard,93,50,California,Virginie Boone,Lutum,
US,Stolpman Vineyard,93,150,California,Matt Kettmann,Turiya,
US,Thomas Road,93,85,California,Virginie Boone,Iron Horse,
US,Estate Reserve,93,35,California,Virginie Boone,Artesa,
US,Pagani Ranch,93,46,California,Virginie Boone,Carlisle,
US,,93,75,Washington,Sean P. Sullivan,Passing Time,
US,Bien Nacido Vineyard,93,40,California,Matt Kettmann,Sanctuary,
US,Enigma,93,25,California,Jim Gordon,Terre Rouge,
US,Hail Mary,93,48,California,Virginie Boone,Limerick Lane,
US,Headpruned Block,93,45,California,Virginie Boone,Limerick Lane,
US,Durell Vineyard,93,50,California,Jim Gordon,Loring Wine Company,
US,,93,65,California,Virginie Boone,Eighty Four,
US,Rancho Santa Rosa Vineyard,93,48,California,Matt Kettmann,Flying Goat Cellars,
US,Fire Light,93,62,California,Matt Kettmann,Four Lanterns,
US,Shapeshifter,93,100,California,Matt Kettmann,Turiya,
US,If Six Was Nine Reserve,93,53,California,Virginie Boone,World's End,
US,Reserve,93,70,California,Virginie Boone,W.H. Smith,
US,La Reyna Blanca Vineyard,89,38,Washington,Sean P. Sullivan,Alleromb,
US,Art Den Hoed Vineyard,89,50,Washington,Sean P. Sullivan,Ardor,
US,,89,25,California,Jim Gordon,Berryessa Gap,
US,Pinot Noir,89,17,New York,Anna Lee C. Iijima,Chateau Lafayette Reneau,
US,,89,13,California,Jim Gordon,Cupcake,
US,,89,18,Washington,Sean P. Sullivan,Raconteur,
US,Orange Oak Ridge Vineyard,89,26,Washington,Sean P. Sullivan,Savage Grace,
US,,89,18,Washington,Sean P. Sullivan,Seven Falls,
US,Unfiltered Estate,89,32,California,Matt Kettmann,Silvertip,
US,StevensSteel,89,25,Washington,Sean P. Sullivan,Stevens,
US,,89,18,California,Jim Gordon,Trinity River,
US,,89,17,California,Matt Kettmann,Vintage Cowboy,
US,Summit View Vineyard,89,41,Washington,Sean P. Sullivan,Kontos,
US,,89,30,Washington,Sean P. Sullivan,L'Ecole No. 41,
US,Starlight,89,36,California,Matt Kettmann,Midnight,
US,,87,20,California,,Michael Pozzan,
US,,87,69,California,,Paoletti,
US,,87,36,New York,Anna Lee C. Iijima,Peconic Bay Winery,
US,Bomba,87,25,Oregon,Sean P. Sullivan,Quady North,
US,Steel-Ox,87,25,Oregon,Sean P. Sullivan,Quady North,
US,Estate,87,20,Oregon,Paul Gregutt,Raptor Ridge,
US,Charlotte's Home Estate,87,17,California,,Rodney Strong,
US,Toyon Farm,87,54,California,,Saintsbury,
US,Caverio,87,40,California,,Sextant,
US,Dutton Ranch,87,45,California,,B Cellars,
US,Unfiltered,87,35,California,,Barlow,
US,,87,28,California,,Claiborne & Churchill,
US,Sidewinder,87,25,Idaho,Sean P. Sullivan,Coiled,
US,Black Mamba,87,28,Idaho,Sean P. Sullivan,Coiled,
US,Koos-Koos-Kia Colter's Creek Vineyard,87,20,Idaho,Sean P. Sullivan,Colter's Creek,
US,Pinpoint Extreme,92,75,California,Virginie Boone,Walt,
US,Aliette,92,48,Oregon,Paul Gregutt,WillaKenzie Estate,
US,Tina's Block Maple Vineyard,92,48,California,Virginie Boone,Armida,
US,Tinaquaic Vineyard,92,37,California,Matt Kettmann,Foxen,
US,,92,25,California,Virginie Boone,Les Belles Collines,
US,,92,60,California,Virginie Boone,Melhill,
US,Estate Grown,92,40,California,Matt Kettmann,Niner,
US,Freedom Hill Vineyard,92,50,Oregon,Paul Gregutt,Purple Hands,
US,Three Twins Vineyard Fallen Feather,92,75,California,Virginie Boone,Stone The Crows,
US,,92,35,California,Matt Kettmann,Scratch,
US,Lodi Native Marian's Vineyard,92,30,California,Jim Gordon,St. Amant,
US,Nancy's,92,70,Oregon,Paul Gregutt,Stoller,
US,,90,40,California,Virginie Boone,Vine Cliff,
US,,90,45,Washington,Sean P. Sullivan,Va Piano,
US,Le Roi Soleil,90,80,California,Virginie Boone,Y Rousseau,
US,,90,15,California,Jim Gordon,Monte Volpe,
US,Rockpile Vineyard,90,65,California,Virginie Boone,Paradise Ridge,
US,,90,20,Washington,Sean P. Sullivan,Poet's Leap,
US,Virgin Berry,90,26,New York,Anna Lee C. Iijima,Raphael,
US,McClellan Estate Vineyard,90,30,Washington,Sean P. Sullivan,Seven Hills,
US,Eco Made with Organic Grapes,90,13,Washington,Sean P. Sullivan,Snoqualmie,
US,,90,45,California,Virginie Boone,Stags' Leap Winery,
US,Dry,90,26,New York,Anna Lee C. Iijima,The Grapes of Roth,
US,Charles Vineyard,90,44,California,Jim Gordon,The Withers Winery,
US,Estate,90,38,California,Virginie Boone,Truchard,
US,,90,28,California,Virginie Boone,Acacia,
US,Dijon Clone,90,32,Washington,Sean P. Sullivan,Array,
US,Sagemoor,90,35,Washington,Sean P. Sullivan,Barrister,
US,ALX,90,42,Washington,Sean P. Sullivan,Bunnell,
US,Canoe Ridge Vineyard,90,30,Washington,Sean P. Sullivan,Chateau Ste. Michelle,
US,Emmaline Ann Vineyard,90,75,California,Virginie Boone,Cobb,
US,Gravel Ridge Vineyard,90,29,California,Matt Kettmann,Cooper-Garrod,
US,Reserve 34,91,90,Washington,Sean P. Sullivan,Mosquito Fleet,
US,Quattro Santa Barbara Highlands Vineyard,91,35,California,Matt Kettmann,Nadia,
US,Ghielmetti Vineyard Micro-lot Reserve,91,50,California,Jim Gordon,Nottingham Cellars,
US,,91,65,California,Virginie Boone,Pride Mountain,
US,Little Bear Creek,91,20,Washington,Sean P. Sullivan,Woodinville Wine Cellars,
US,DCV2 Estate Four Clones Vineyard,91,38,California,Virginie Boone,Dry Creek Vineyard,
US,Cohen Vineyard Dutton Ranch,91,23,California,Virginie Boone,Dutton Estate,
US,Keefer Ranch,91,48,California,Virginie Boone,Failla,
US,Dichotomy,91,32,California,Virginie Boone,Friedeman,
US,Mont Sec Vineyards,85,14,Texas,Alexander Peartree,Mont Sec,
US,,85,13,Oregon,Paul Gregutt,Rascal,
US,,85,16,California,Jim Gordon,Jack's House,
US,,85,32,California,Matt Kettmann,Felten Cellars,
US,Treborce Vineyard,85,33,California,Virginie Boone,Pech Merle,
US,,87,24,California,,William Knuttel,
US,Fiori Delle Stelle Ice Wine,87,75,New York,Anna Lee C. Iijima,Casa Larga,
US,Thornton Vineyard,87,45,California,,De Loach,
US,Effort,87,22,California,,Center of Effort,
US,,87,18,California,,Handley,
US,,87,35,California,,Kuleto Estate,
US,Julia's Vineyard,87,36,California,,Lane Tanner,
US,,87,34,California,,MacRostie,
US,"Reserve, Vista del Monte Vineyard",87,70,California,Virginie Boone,Monte De Oro,
US,Estate Grown,87,28,California,,Mounts,
US,CuvÃ©e Christine,87,45,California,,Pax,
US,The Griffin,87,32,California,,Robert Foley,
US,Ocean Reserve,92,40,California,,Iron Horse,
US,Lorna Marie,92,70,Oregon,Paul Gregutt,Patton Valley,
US,West Block,92,48,Oregon,Paul Gregutt,Patton Valley,
US,Winderlea Vineyard,92,105,Oregon,Paul Gregutt,Adelsheim,
US,CuvÃ©e M,92,35,California,,Laetitia,
US,Big River Ranch,92,38,California,,Bella,
US,Rutherford Estate Vineyard,90,125,California,Virginie Boone,St. SupÃ©ry,
US,Signature,90,17,Washington,Sean P. Sullivan,Barnard Griffin,
US,Chehalem Mountain Vineyard,90,85,Oregon,Paul Gregutt,Beacon Hill,
US,Tuttorosso,90,34,Washington,Sean P. Sullivan,Brian Carter Cellars,
US,,90,22,California,Matt Kettmann,Buttonwood,
US,,90,20,California,Matt Kettmann,Chessman,
US,Tawny Estate,90,50,California,Virginie Boone,Deerfield Ranch,
US,Upright Klipsun Vineyard,90,39,Washington,Sean P. Sullivan,Efeste,
US,Lola Evergreen Vineyard,90,35,Washington,Sean P. Sullivan,Efeste,
US,,90,15,Oregon,Paul Gregutt,Firesteed,
US,Small Lot,90,27,California,Jim Gordon,Iron Hub,
US,,90,125,California,Virginie Boone,Aiken,
US,Perli Vineyards,90,42,California,Jim Gordon,Donkey & Goat,
US,Soleil,86,18,Washington,Sean P. Sullivan,Finn Hill,
US,Pre-Emption Vineyard,86,22,New York,Anna Lee C. Iijima,Keuka Spring,
US,,86,28,California,Matt Kettmann,Still Waters,
US,,86,10,California,Jim Gordon,Stomping Ground,
US,,86,26,Washington,Paul Gregutt,Columbia Winery,
US,Les Collines Vineyard,86,36,Washington,Paul Gregutt,Kontos,
US,Yellow Dog Vineyard,86,20,New York,Anna Lee C. Iijima,Lamoreaux Landing,
US,,86,10,California,Jim Gordon,Leaping Horse,
US,Proprietor's Reserve,86,25,Washington,Paul Gregutt,Maryhill,
US,,90,20,California,Jim Gordon,Easton,
US,Reserve,90,35,California,Matt Kettmann,Edna Valley Vineyard,
US,,90,28,California,Matt Kettmann,Fess Parker,
US,,90,15,Oregon,Paul Gregutt,Firesteed,
US,,90,150,California,Virginie Boone,Foretell,
US,Erato De Portola Trail Vineyard,90,45,California,Matt Kettmann,Gershon Bachus,
US,Rio Vista Vineyard,90,45,California,Matt Kettmann,West of Temperance,
US,Estate,90,40,Oregon,Paul Gregutt,Carabella,
US,Larner,90,42,California,Matt Kettmann,Casa Dumetz,
US,Estate Bottled,90,29,California,Jim Gordon,Greenwood Ridge,
US,,90,42,California,Virginie Boone,Herencia,
US,,90,18,Oregon,Paul Gregutt,J. Scott Cellars,
US,Sonoma Estate,90,20,California,,Cline,
US,,90,22,California,,Fuse,
US,Brut Rose,90,28,California,,J Vineyards & Winery,
US,,90,27,California,,Kokomo,
US,Slide Mountain Vineyard,90,72,Washington,Paul Gregutt,Owen Roe,
US,Red Label,90,44,California,,Pacific Ridge,
US,Estate,90,28,California,,Phoenix Ranch,
US,,90,29,California,,2nd Chance,
US,Stone Tree Vineyard Intuition Reserve,90,58,Washington,Paul Gregutt,Bergevin Lane,
US,Signature Selection,90,70,California,Virginie Boone,Leonesse Cellars,
US,Dividend,90,39,Washington,Paul Gregutt,Market Vineyards,
US,Reserve Bingham Vineyard,87,22,Texas,Alexander Peartree,Becker,
US,Super Nero,87,30,Texas,Alexander Peartree,Brennan,
US,Reddy Vineyard,87,18,Texas,Alexander Peartree,Brennan,
US,Three Otters Pinot Noir,87,18,Oregon,Paul Gregutt,Fullerton,
US,AtraÃ§Ã£o,87,25,Oregon,Paul Gregutt,Coelho,
US,RenovaÃ§Ã£o Estate Vineyards,87,20,Oregon,Paul Gregutt,Coelho,
US,Vin Doux Naturel,87,20,California,Jim Gordon,Terre Rouge,
US,Estate,87,20,California,Jim Gordon,Bella Grace,
US,Ian's Reserve,87,40,Oregon,Paul Gregutt,Chehalem,
US,Stoller Vineyards,87,29,Oregon,Paul Gregutt,Chehalem,
US,Melange d'Amis Reserve,87,55,California,Jim Gordon,Cuda Ridge Wines,
US,,87,34,California,Virginie Boone,Ektimo Vineyards,
US,Estate,87,27,Oregon,Paul Gregutt,Folin Cellars,
US,Director's,87,17,California,Virginie Boone,Francis Coppola,
US,Reserve Winston Hill Vineyard,87,65,California,Virginie Boone,Frank Family,
US,,87,40,California,Virginie Boone,Vine Cliff,
US,Rennie Vineyard Organic Grapes,87,32,California,Jim Gordon,Yorkville Cellars,
US,i,87,38,Oregon,Paul Gregutt,Amalie Robert,
US,Reserve Bottling,87,15,California,Jim Gordon,Archgate Cellars,
US,Ritchie Vineyard,87,24,California,Virginie Boone,Carica,
US,,85,19,California,,One Hope,
US,,85,23,California,,Saddleback,
US,Alexander School Reserve Big Barrel,85,35,California,,Alexander Valley Vineyards,
US,Rough House Red,85,30,Washington,Paul Gregutt,Covington,
US,Summation Vintner's Reserve,85,17,California,,Kendall-Jackson,
US,Estate Grown,85,16,California,,Ledgewood Creek,
US,White X,85,15,California,,X,
US,,85,25,California,,Breggo,
US,,88,20,Oregon,Paul Gregutt,Lachini,
US,,88,12,California,,Dancing Bull,
US,,88,18,Oregon,Paul Gregutt,The Four Graces,
US,,88,17,Oregon,Paul Gregutt,Amity,
US,,88,24,Oregon,Paul Gregutt,Arcane Cellars,
US,First Class,88,60,Oregon,Paul Gregutt,Benton-Lane,
US,,88,40,Oregon,Paul Gregutt,Expression 44Â°,
US,Black Family Estate,88,75,Oregon,Paul Gregutt,The Four Graces,
US,,88,16,New York,,Hunt Country Vineyards,
US,Forty Two,88,42,California,Matt Kettmann,Brecon Estate,
US,Profonde Winemaker's Reserve,88,48,California,Matt Kettmann,Callaway,
US,Elivette,88,125,California,Virginie Boone,Spring Mountain Vineyard,
US,,88,14,Oregon,Paul Gregutt,Stanton Vineyard,
US,Vogelzang,88,42,California,Matt Kettmann,Dragonette,
US,,88,13,Oregon,Paul Gregutt,Firesteed,
US,Estate,88,34,Oregon,Paul Gregutt,Folin Cellars,
US,Miljenko's Selection,88,60,California,Virginie Boone,Grgich Hills,
US,,88,22,California,Matt Kettmann,Ventana,
US,Spofford Station,88,28,Oregon,Sean P. Sullivan,WildAire,
US,,85,24,Oregon,Paul Gregutt,Honeywood Winery,
US,,85,16,California,,Irony,
US,,85,10,California,,Little Black Dress,
US,,85,12,California,,Estancia,
US,,85,16,California,,Bridgeway,
US,Old Vine Reserve,94,38,California,Jim Gordon,Scott Harvey,
US,,94,34,California,Virginie Boone,Sea Slopes,
US,Family Reserve MMXIV,94,100,Oregon,Paul Gregutt,Trisaetum,
US,BergstrÃ¶m Vineyard,94,95,Oregon,Paul Gregutt,BergstrÃ¶m,
US,Shea Vineyard,94,62,Oregon,Paul Gregutt,BergstrÃ¶m,
US,Red Shoulder Ranch,94,52,California,Virginie Boone,Shafer,
US,Old Stones,94,35,Oregon,Paul Gregutt,BergstrÃ¶m,
US,Elusive Queen,94,85,Oregon,Paul Gregutt,Big Table Farm,
US,Ribbon Ridge Estate,94,32,Oregon,Paul Gregutt,Trisaetum,
US,Wichmann Dundee Estate,94,32,Oregon,Paul Gregutt,Trisaetum,
US,The Tribe Vineyard,94,120,Oregon,Sean P. Sullivan,Horsepower,
US,,94,85,California,Virginie Boone,J. Davies,
US,Perspective Estate,94,38,California,Virginie Boone,Tres Sabores,
US,Coast Range Dry,94,32,Oregon,Paul Gregutt,Trisaetum,
US,Terra De Promissio Vineyard,94,58,California,Virginie Boone,Williams Selyem,
US,Cailloux Vineyard,94,85,Oregon,Sean P. Sullivan,Cayuse,
US,,94,80,California,Virginie Boone,Chappellet,
US,Emmaline Ann Vineyard,94,75,California,Virginie Boone,Cobb,
US,Old Vines,94,50,Oregon,Paul Gregutt,Dion,
US,ZÃ©phirine,94,60,Oregon,Paul Gregutt,Drouhin Oregon Roserock,
US,,90,28,California,Virginie Boone,Robert Mondavi,
US,StevensSweets Late Harvest,90,15,Washington,Paul Gregutt,Stevens,
US,,90,19,California,Virginie Boone,Rutherford Ranch,
US,Caverio,90,40,California,Matt Kettmann,Sextant,
